Algorithm,Time (s),Path Length (Adaptive 3D),Path Cost (Adaptive Elevation),Computing Power (OPS)
A*,0.0032,62.497,64.7454,316562.5
Dijkstra,0.0028,62.497,64.7454,354285.7143
AD*,0.0147,62.497,64.7454,56122.44898
SA,0.1612,270.92,311.38,8275.434243
SSA,3.7764,255.9437,290.9155,5296.049147
