Iteration,Best Cost,Algorithm
0,1213.3985710452587,SA
1,1215.391835930849,SA
2,1080.918614146809,SA
3,1078.8945039798662,SA
4,1078.8945039798662,SA
5,1069.7775104230495,SA
6,1062.4248742139168,SA
7,1067.4415982962398,SA
8,1042.3708985500832,SA
9,1042.3708985500832,SA
10,1040.3257048932671,SA
11,1040.3257048932671,SA
12,1039.677076479375,SA
13,1039.677076479375,SA
14,1039.677076479375,SA
15,1039.677076479375,SA
16,1049.6486360529307,SA
17,970.9495457893951,SA
18,972.8189228705672,SA
19,971.7506454395727,SA
20,971.7506454395727,SA
21,971.7506454395727,SA
22,971.7506454395727,SA
23,970.2479687507977,SA
24,970.4647601694116,SA
25,970.4647601694116,SA
26,971.858341749127,SA
27,971.858341749127,SA
28,971.858341749127,SA
29,971.858341749127,SA
30,971.858341749127,SA
31,926.1441513274224,SA
32,925.0672050976946,SA
33,903.747693665168,SA
34,936.3130710561429,SA
35,938.3184044845291,SA
36,938.3184044845291,SA
37,940.3393597888889,SA
38,940.3393597888889,SA
39,940.3393597888889,SA
40,940.3393597888889,SA
41,940.3393597888889,SA
42,940.3393597888889,SA
43,940.3393597888889,SA
44,938.1015679352831,SA
45,929.7305559039926,SA
46,970.86211125027,SA
47,970.86211125027,SA
48,970.86211125027,SA
49,982.0446526817709,SA
50,985.9548115275021,SA
51,985.9548115275021,SA
52,985.9548115275021,SA
53,986.3435832716511,SA
54,984.9848676847772,SA
55,984.9848676847772,SA
56,902.4457643861317,SA
57,943.6408875828463,SA
58,985.3839671300296,SA
59,942.6117614641228,SA
60,876.7854405627711,SA
61,855.4211040854699,SA
62,855.4211040854699,SA
63,855.4211040854699,SA
64,855.4211040854699,SA
65,855.4211040854699,SA
66,876.4685694336538,SA
67,876.4685694336538,SA
68,876.4685694336538,SA
69,883.2308988284631,SA
70,883.2308988284631,SA
71,905.7690104118303,SA
72,905.7690104118303,SA
73,905.6573400961242,SA
74,894.5770525501584,SA
75,877.2745157381498,SA
76,877.2745157381498,SA
77,900.1116562534755,SA
78,900.1116562534755,SA
79,900.1116562534755,SA
80,938.8819594637765,SA
81,938.8819594637765,SA
82,938.8819594637765,SA
83,899.8976712264791,SA
84,899.8976712264791,SA
85,899.8976712264791,SA
86,899.8976712264791,SA
87,898.1834949600244,SA
88,898.1834949600244,SA
89,898.1834949600244,SA
90,898.1834949600244,SA
91,898.3891346967811,SA
92,898.3891346967811,SA
93,939.6329329265152,SA
94,942.0796451718086,SA
95,939.9443472422333,SA
96,939.9443472422333,SA
97,939.9443472422333,SA
98,942.5986820297192,SA
99,942.5986820297192,SA
100,942.5952828372144,SA
101,942.5952828372144,SA
102,942.7330681189469,SA
103,943.3485605073523,SA
104,943.3485605073523,SA
105,943.3485605073523,SA
106,943.3485605073523,SA
107,945.3132753663073,SA
108,945.3132753663073,SA
109,945.7444400270128,SA
110,943.1683166475501,SA
111,943.1683166475501,SA
112,943.1683166475501,SA
113,945.3295051297339,SA
114,943.4173926899329,SA
115,943.4173926899329,SA
116,941.506710317315,SA
117,941.506710317315,SA
118,943.5963093050764,SA
119,900.1664202653476,SA
120,902.2262580454151,SA
121,902.2262580454151,SA
122,900.0661770381702,SA
123,982.9552853759816,SA
124,982.9552853759816,SA
125,856.8399313683707,SA
126,850.1934556107365,SA
127,846.248970102566,SA
128,853.1933212663391,SA
129,853.5272716721493,SA
130,853.4852000605367,SA
131,851.8618647664529,SA
132,853.8681822617247,SA
133,853.8681822617247,SA
134,851.8636292603535,SA
135,849.8713962948929,SA
136,849.7621353014124,SA
137,851.5218613509053,SA
138,854.0056880994166,SA
139,856.725335064509,SA
140,856.725335064509,SA
141,854.3108112171991,SA
142,854.0652290430307,SA
143,853.7258658100461,SA
144,853.7258658100461,SA
145,811.635248868391,SA
146,813.3870917867566,SA
147,815.47364870644,SA
148,815.47364870644,SA
149,815.47364870644,SA
150,817.3812849372672,SA
151,816.9548459063341,SA
152,818.6347669147417,SA
153,818.6137557030078,SA
154,818.6137557030078,SA
155,818.7340061999754,SA
156,818.7340061999754,SA
157,818.1006209012662,SA
158,818.1209766672856,SA
159,818.1209766672856,SA
160,815.7157649517171,SA
161,815.7157649517171,SA
162,815.7157649517171,SA
163,815.7157649517171,SA
164,818.5116053350557,SA
165,819.037819719945,SA
166,815.6175148305069,SA
167,813.2538503005838,SA
168,814.5485291475574,SA
169,813.1484020812019,SA
170,813.1484020812019,SA
171,813.1484020812019,SA
172,813.2849361310458,SA
173,813.2849361310458,SA
174,813.2849361310458,SA
175,813.2849361310458,SA
176,815.9357785452761,SA
177,814.2685839699265,SA
178,814.2685839699265,SA
179,815.7275194968246,SA
180,818.0957529651804,SA
181,818.0957529651804,SA
182,818.0957529651804,SA
183,818.097925330904,SA
184,749.3807442567039,SA
185,748.2296933484363,SA
186,748.2296933484363,SA
187,748.2296933484363,SA
188,768.8553127454398,SA
189,768.8553127454398,SA
190,768.8553127454398,SA
191,768.8553127454398,SA
192,768.8553127454398,SA
193,768.8553127454398,SA
194,768.8553127454398,SA
195,770.5160570578403,SA
196,770.5160570578403,SA
197,771.6525270860487,SA
198,771.6525270860487,SA
199,795.125699455721,SA
